contrast,odds.ratio,SE,df,null,t.ratio,p.value
Forest SCU_MYR / Thicket SCU_MYR,1.1858671060654324,0.373645088082854,364,1,0.5410476480406161,0.9999999998349666
Thicket GYM_HAR / Thicket SID_INE,0.8828614358912639,0.21157035160314638,364,1,-0.5198888694360773,0.9999999999225044
Savanna KRA_FLO / Savanna SID_INE,0.8819978714417783,0.22475100206008136,364,1,-0.49276142458164346,0.9999999999720717
Forest EUC_RAC / Thicket KRA_FLO,0.8535120162995719,0.2784874060011622,364,1,-0.48545318213865885,0.9999999999790042
Forest GYM_HAR / Savanna GYM_HAR,1.1145735667980883,0.2552285414863418,364,1,0.4736926755680457,0.9999999999869167
Thicket ACA_ROB / Savanna SPI_AFR,0.8110444848968204,0.37728210134023943,364,1,-0.4502174146726249,0.999999999995168
Forest SCU_MYR / Savanna SPI_AFR,1.2049555639171383,0.5015865685988833,364,1,0.44788909939989313,0.9999999999956265
Savanna GYM_HAR / Forest SPI_AFR,1.1900571550404928,0.4723216106764528,364,1,0.4384121529007999,0.9999999999971723
Savanna EUC_RAC / Forest SPI_AFR,1.1775837432620673,0.4453613365501117,364,1,0.4322183248422388,0.9999999999978579
Savanna GYM_HAR / Forest KRA_FLO,1.1430135446875753,0.35676160547316643,364,1,0.4282540514415872,0.9999999999982496
Savanna EUC_RAC / Forest KRA_FLO,1.1310332137002614,0.3253870056654363,364,1,0.4280007664754454,0.9999999999982696
Forest KRA_FLO / Forest SCU_MYR,1.1468724779729744,0.3673413564524623,364,1,0.4278468977994207,0.9999999999982815
Forest EUC_RAC / Thicket SCU_MYR,0.8582869596211206,0.31227724173010823,364,1,-0.42001348507155467,0.9999999999988707
Thicket ACA_ROB / Forest EUC_RAC,0.9299875885254679,0.36130064049920424,364,1,-0.1868312630875385,1
Forest EUC_RAC / Savanna SPI_AFR,0.8721024827683598,0.3948688912707296,364,1,-0.3022415189239148,1
Savanna EUC_RAC / Savanna GYM_HAR,0.98951864477635,0.21745206409638737,364,1,-0.047947270308364064,1
Savanna EUC_RAC / Thicket GYM_HAR,1.0367096136185743,0.1965128077634901,364,1,0.19019276675960362,1
Savanna EUC_RAC / Thicket SID_INE,0.9152709380815718,0.21509481303570452,364,1,-0.37673456168260605,1
Thicket EUC_RAC / Thicket KRA_FLO,1.0052367000120093,0.24071010968301584,364,1,0.021812077858061413,1
Thicket EUC_RAC / Thicket SCU_MYR,1.0108604618052037,0.2898049532983279,364,1,0.037677838664156756,1
Thicket EUC_RAC / Savanna SPI_AFR,1.0271319033692976,0.4055358619995076,364,1,0.06780334776396167,1
Forest GYM_HAR / Savanna KRA_FLO,0.9507670525690195,0.20873177578366392,364,1,-0.22996312845636727,1
Forest GYM_HAR / Thicket SID_INE,1.0309424682692865,0.25320046328589585,364,1,0.12407688145472263,1
Savanna GYM_HAR / Thicket GYM_HAR,1.0476908334080863,0.23258865656387895,364,1,0.20985710533022783,1
Savanna GYM_HAR / Thicket SID_INE,0.924965833552778,0.24393601573696214,364,1,-0.29575758950086023,1
Thicket GYM_HAR / Forest KRA_FLO,1.0909836263140806,0.3189907347940861,364,1,0.297822209824584,1
Thicket GYM_HAR / Forest SPI_AFR,1.1358858139183066,0.4340059718257692,364,1,0.33346635914163797,1
Forest KRA_FLO / Forest SPI_AFR,1.0411575265853708,0.45530845188476815,364,1,0.09223002787995302,1
Savanna KRA_FLO / Thicket SID_INE,1.0843270867281625,0.27484180140886827,364,1,0.31940805445669235,1
Thicket KRA_FLO / Thicket SCU_MYR,1.0055944652569164,0.31821511521555423,364,1,0.017629851343155336,1
Thicket KRA_FLO / Savanna SPI_AFR,1.021781142050451,0.42590648778119117,364,1,0.051693618300848294,1
Forest SCU_MYR / Forest SPI_AFR,0.9078232729287843,0.36628131836613426,364,1,-0.23968339887019577,1
Thicket SCU_MYR / Savanna SPI_AFR,1.0160966247854188,0.4525478482679499,364,1,0.035853636126611806,1
