species,site,leaf_age,herbivory_type,side,habitat,individual,herbivory_percentage_median,herbivory_percentage_mean
ACA_NIL,T9,old,chew_perc,up,Thicket,1,0.515995872,1.3227029799767442
ACA_NIL,T9,old,chew_perc,up,Thicket,2,0.454829723,0.6420002379736842
ACA_NIL,T9,old,chew_perc,up,Thicket,3,0.397098643,3.830955451090909
ACA_NIL,T9,young,sap_min_perc,up,Thicket,1,0.127877238,0.18005682125714287
ACA_NIL,T9,young,sap_min_perc,up,Thicket,2,0,0.6247732124375
ACA_NIL,T9,young,chew_perc,up,Thicket,1,0.288184438,0.434916484
ACA_NIL,T9,young,chew_perc,up,Thicket,2,0.35178265350000004,1.218406430015625
ACA_ROB,F7,old,sap_min_perc,up,Forest,1,0,0
ACA_ROB,F7,old,sap_min_perc,up,Forest,2,0,0.44112554114999997
ACA_ROB,F7,old,chew_perc,up,Forest,1,0,0.2717578259411765
ACA_ROB,F7,old,chew_perc,up,Forest,2,0,0
ACA_ROB,S13,old,sap_min_perc,up,Savanna,1,0,0
ACA_ROB,S13,old,sap_min_perc,up,Savanna,2,0,0
ACA_ROB,S13,old,chew_perc,up,Savanna,1,0,3.5178401843888887
ACA_ROB,S13,old,chew_perc,up,Savanna,2,0,0.4835304054
ACA_ROB,S20,old,sap_min_perc,up,Savanna,1,0,0
ACA_ROB,S20,old,sap_min_perc,up,Savanna,2,0,0
ACA_ROB,S20,old,chew_perc,up,Savanna,1,0,0.3795515025245902
ACA_ROB,S20,old,chew_perc,up,Savanna,2,0,0
ACA_ROB,S21,old,sap_min_perc,up,Savanna,1,0,0
ACA_ROB,S21,old,sap_min_perc,up,Savanna,2,0,0
ACA_ROB,S21,old,chew_perc,up,Savanna,1,0,0.02765780689583333
ACA_ROB,S21,old,chew_perc,up,Savanna,2,0,0.05772303339215686
ACA_ROB,S52,old,sap_min_perc,up,Savanna,1,0,0
ACA_ROB,S52,old,sap_min_perc,up,Savanna,2,0,0
ACA_ROB,S52,old,sap_min_perc,up,Savanna,3,0,0
ACA_ROB,S52,old,chew_perc,up,Savanna,1,0,5.132371965652174
ACA_ROB,S52,old,chew_perc,up,Savanna,2,1.015690325,6.519871854217391
ACA_ROB,S52,old,chew_perc,up,Savanna,3,0,1.3392997716
ACA_ROB,S53,old,sap_min_perc,up,Savanna,1,0,0.3966103649090909
ACA_ROB,S53,old,sap_min_perc,up,Savanna,2,0,1.1717171717333332
ACA_ROB,S53,old,sap_min_perc,up,Savanna,3,0,0.9132584485624999
ACA_ROB,S53,old,chew_perc,up,Savanna,1,0,0.4459594238181818
ACA_ROB,S53,old,chew_perc,up,Savanna,2,0,0.3370998116666667
ACA_ROB,S53,old,chew_perc,up,Savanna,3,0,0.1077586206875
ACA_ROB,T23,old,sap_min_perc,up,Thicket,1,0,0.3105990040769231
ACA_ROB,T23,old,sap_min_perc,up,Thicket,2,0,0.12515644552941177
ACA_ROB,T23,old,sap_min_perc,up,Thicket,3,0,0.70771764325
ACA_ROB,T23,old,chew_perc,up,Thicket,1,0,1.4147356854615385
ACA_ROB,T23,old,chew_perc,up,Thicket,2,0,0.10504201682352941
ACA_ROB,T23,old,chew_perc,up,Thicket,3,1.515151515,3.212493902416667
ACA_ROB,T24,old,sap_min_perc,up,Thicket,1,0,1.6438474607
ACA_ROB,T24,old,sap_min_perc,up,Thicket,2,0,0.4487179487
ACA_ROB,T24,old,sap_min_perc,up,Thicket,3,0,0.11950549448
ACA_ROB,T24,old,chew_perc,up,Thicket,1,0,0.20180180179999999
ACA_ROB,T24,old,chew_perc,up,Thicket,2,0,0.8681262056000001
ACA_ROB,T24,old,chew_perc,up,Thicket,3,0,0.28072692492
BER_LUC,F2,old,sap_min_perc,low,Forest,1,0,0
BER_LUC,F2,old,sap_min_perc,low,Forest,2,0,0
BER_LUC,F2,old,sap_min_perc,low,Forest,3,0,0
BER_LUC,F2,old,sap_min_perc,up,Forest,1,0,0
BER_LUC,F2,old,sap_min_perc,up,Forest,2,0,0
BER_LUC,F2,old,sap_min_perc,up,Forest,3,0,0
BER_LUC,F2,old,chew_perc,low,Forest,1,2.411176201,16.3289754655
BER_LUC,F2,old,chew_perc,low,Forest,2,4.801878779,16.75973072757143
BER_LUC,F2,old,chew_perc,low,Forest,3,0.020473623,15.725918098600001
BER_LUC,F2,old,chew_perc,up,Forest,1,0.0248514315,10.3769426362
BER_LUC,F2,old,chew_perc,up,Forest,2,0.026788106,15.256559548272728
BER_LUC,F2,old,chew_perc,up,Forest,3,0.022914757,4.412966410333333
BER_LUC,F2,young,sap_min_perc,up,Forest,1,0,0
BER_LUC,F2,young,sap_min_perc,up,Forest,2,0,0
BER_LUC,F2,young,sap_min_perc,up,Forest,3,0,0
BER_LUC,F2,young,chew_perc,up,Forest,1,71.40181665,71.40181665
BER_LUC,F2,young,chew_perc,up,Forest,2,71.40181665,71.40181665
BER_LUC,F2,young,chew_perc,up,Forest,3,71.40181665,71.40181665
BER_LUC,F3,old,sap_min_perc,low,Forest,1,0,0
BER_LUC,F3,old,sap_min_perc,low,Forest,2,0.067226059,0.06988453
BER_LUC,F3,old,sap_min_perc,up,Forest,1,0,0
BER_LUC,F3,old,sap_min_perc,up,Forest,2,0.299542184,1.3330986169999999
BER_LUC,F3,old,chew_perc,low,Forest,1,0.080040814,0.89319225325
BER_LUC,F3,old,chew_perc,low,Forest,2,0.053381103,0.055450742500000004
BER_LUC,F3,old,chew_perc,up,Forest,1,0.162018853,4.94821927168421
BER_LUC,F3,old,chew_perc,up,Forest,2,0.106507003,1.2405850225714286
BER_LUC,F4,old,sap_min_perc,low,Forest,1,0.641378047,4.705384741153846
BER_LUC,F4,old,sap_min_perc,low,Forest,2,1.2999947205,7.253190484
BER_LUC,F4,old,sap_min_perc,low,Forest,3,0.36101083,0.5856960815714286
BER_LUC,F4,old,sap_min_perc,up,Forest,1,0.6075246025,1.0881016229
BER_LUC,F4,old,sap_min_perc,up,Forest,2,0.2460948435,0.8659613295
BER_LUC,F4,old,sap_min_perc,up,Forest,3,0.9882173285,1.3070929973
BER_LUC,F4,old,chew_perc,low,Forest,1,0.16159105000000001,8.619337586846154
BER_LUC,F4,old,chew_perc,low,Forest,2,4.765603664,13.973671846625
BER_LUC,F4,old,chew_perc,low,Forest,3,0.022088464,0.038170111
BER_LUC,F4,old,chew_perc,up,Forest,1,0.0451920065,3.9173206284999997
BER_LUC,F4,old,chew_perc,up,Forest,2,1.226607871,3.2943620373333333
BER_LUC,F4,old,chew_perc,up,Forest,3,0.0401589475,2.9016450393
BER_LUC,F5,old,sap_min_perc,low,Forest,1,0,0
BER_LUC,F5,old,sap_min_perc,low,Forest,2,0,0
BER_LUC,F5,old,sap_min_perc,low,Forest,3,1.694151572,1.2758268254
BER_LUC,F5,old,sap_min_perc,up,Forest,1,0,0
BER_LUC,F5,old,sap_min_perc,up,Forest,2,0,0
BER_LUC,F5,old,sap_min_perc,up,Forest,3,1.655506387,1.478226398375
BER_LUC,F5,old,chew_perc,low,Forest,1,11.41611607,13.376603384200001
BER_LUC,F5,old,chew_perc,low,Forest,2,1.070336391,4.023377959285714
BER_LUC,F5,old,chew_perc,low,Forest,3,1.113482952,4.5240516608
BER_LUC,F5,old,chew_perc,up,Forest,1,2.0619955715000002,13.480443482499998
BER_LUC,F5,old,chew_perc,up,Forest,2,8.574256326,13.6731813307
BER_LUC,F5,old,chew_perc,up,Forest,3,1.1073162745,1.04917235175
BER_LUC,F5,young,sap_min_perc,up,Forest,3,1.57204939,1.3042631128333333
BER_LUC,F5,young,chew_perc,up,Forest,3,1.094896361,1.093997738
BER_ZEY,S10,old,sap_min_perc,low,Savanna,1,6.027968384,8.4481894498
BER_ZEY,S10,old,sap_min_perc,up,Savanna,1,14.995389545,13.6578190407
BER_ZEY,S10,old,chew_perc,low,Savanna,1,22.45722227,21.2093714322
BER_ZEY,S10,old,chew_perc,up,Savanna,1,5.0340693275,6.4859999265
BER_ZEY,S10,young,sap_min_perc,up,Savanna,1,14.0928040515,15.20455333375
BER_ZEY,S10,young,chew_perc,up,Savanna,1,5.3580262375,6.707122447625
BER_ZEY,S13,old,sap_min_perc,low,Savanna,1,3.852312329,7.3997392464
BER_ZEY,S13,old,sap_min_perc,low,Savanna,2,0.854044717,1.2215973488
BER_ZEY,S13,old,sap_min_perc,up,Savanna,1,1.0327875915,2.7729372946
BER_ZEY,S13,old,sap_min_perc,up,Savanna,2,2.3956312045,3.5606328283
BER_ZEY,S13,old,chew_perc,low,Savanna,1,1.667137609,3.6229240106
BER_ZEY,S13,old,chew_perc,low,Savanna,2,0.010801469,0.2643712904
BER_ZEY,S13,old,chew_perc,up,Savanna,1,0.139922193,1.062881897
BER_ZEY,S13,old,chew_perc,up,Savanna,2,0.039240661999999996,0.8604030229
BER_ZEY,S13,young,sap_min_perc,up,Savanna,1,0.0609807535,1.9354717768
BER_ZEY,S13,young,sap_min_perc,up,Savanna,2,0.054493510499999995,2.5910306131
BER_ZEY,S13,young,chew_perc,up,Savanna,1,0.024741929,0.9582669215
BER_ZEY,S13,young,chew_perc,up,Savanna,2,0.027246754999999998,1.1905290530000001
BER_ZEY,S19,old,sap_min_perc,low,Savanna,1,2.0140258105,4.388057199
BER_ZEY,S19,old,sap_min_perc,low,Savanna,2,1.41503438,7.094319207374999
BER_ZEY,S19,old,sap_min_perc,low,Savanna,3,1.515108852,3.70197344425
BER_ZEY,S19,old,sap_min_perc,up,Savanna,1,0.264865581,2.658312742818182
BER_ZEY,S19,old,sap_min_perc,up,Savanna,2,1.842573573,3.9520952339999997
BER_ZEY,S19,old,sap_min_perc,up,Savanna,3,2.6387327024999996,8.966883647083334
BER_ZEY,S19,old,chew_perc,low,Savanna,1,0.0174329975,1.8677888437
BER_ZEY,S19,old,chew_perc,low,Savanna,2,0.030095040500000003,2.295609629125
BER_ZEY,S19,old,chew_perc,low,Savanna,3,0.020694611,1.2653780346249999
