species,site,leaf_age,herbivory_type,side,habitat,individual,mean_herbivory,mean_leaf_area,herbivory_standardized
ACA_GRA,S55,old,chew_herbivory,up,Savanna,1,4.8e-4,0.07084,0.6775832862789385
ACA_KAR,S1,old,sap_miner_herbivory,up,Savanna,1,0,0.5041612903225806,0
ACA_KAR,S1,old,sap_miner_herbivory,up,Savanna,2,0,1.665,0
ACA_KAR,S1,old,sap_miner_herbivory,up,Savanna,3,0,1.0380869565217392,0
ACA_KAR,S1,old,chew_herbivory,up,Savanna,1,0.013903225806451612,0.5041612903225806,2.757694030328236
ACA_KAR,S1,old,chew_herbivory,up,Savanna,2,0.010124999999999999,1.665,0.608108108108108
ACA_KAR,S1,old,chew_herbivory,up,Savanna,3,0.01526086956521739,1.0380869565217392,1.470095493382476
ACA_KAR,S10,old,sap_miner_herbivory,up,Savanna,1,0,1.0676666666666665,0
ACA_KAR,S10,old,sap_miner_herbivory,up,Savanna,2,0,0.3358695652173913,0
ACA_KAR,S10,old,chew_herbivory,up,Savanna,1,0.05071428571428571,1.0676666666666665,4.750011150260916
ACA_KAR,S10,old,chew_herbivory,up,Savanna,2,0.056913043478260865,0.3358695652173913,16.944983818770226
ACA_KAR,S11,old,sap_miner_herbivory,up,Savanna,1,0,1.1634166666666665,0
ACA_KAR,S11,old,sap_miner_herbivory,up,Savanna,2,0,2.7118235294117645,0
ACA_KAR,S11,old,chew_herbivory,up,Savanna,1,0.092,1.1634166666666665,7.907742998352553
ACA_KAR,S11,old,chew_herbivory,up,Savanna,2,0.10441176470588234,2.7118235294117645,3.850241860263335
ACA_KAR,S19,old,sap_miner_herbivory,up,Savanna,1,0,0.03025,0
ACA_KAR,S19,old,sap_miner_herbivory,up,Savanna,2,0,7.657333333333333,0
ACA_KAR,S19,old,sap_miner_herbivory,up,Savanna,3,0,13.8865,0
ACA_KAR,S19,old,chew_herbivory,up,Savanna,1,0,0.03025,0
ACA_KAR,S19,old,chew_herbivory,up,Savanna,2,0.5516666666666666,7.657333333333333,7.204422775552847
ACA_KAR,S19,old,chew_herbivory,up,Savanna,3,0.96,13.8865,6.913189068519785
ACA_KAR,S20,old,sap_miner_herbivory,up,Savanna,1,0,0.1145952380952381,0
ACA_KAR,S20,old,sap_miner_herbivory,up,Savanna,2,0,0.14982857142857142,0
ACA_KAR,S20,old,sap_miner_herbivory,up,Savanna,3,0,0.20421052631578948,0
ACA_KAR,S20,old,chew_herbivory,up,Savanna,1,0.0019523809523809524,0.1145952380952381,1.7037190941200915
ACA_KAR,S20,old,chew_herbivory,up,Savanna,2,0.004971428571428572,0.14982857142857142,3.3180778032036615
ACA_KAR,S20,old,chew_herbivory,up,Savanna,3,0.0013684210526315789,0.20421052631578948,0.6701030927835051
ACA_KAR,S21,old,sap_miner_herbivory,up,Savanna,1,0,0.03091891891891892,0
ACA_KAR,S21,old,chew_herbivory,up,Savanna,1,0,0.03091891891891892,0
ACA_KAR,S27,old,sap_miner_herbivory,up,Savanna,1,0,0.1637037037037037,0
ACA_KAR,S27,old,sap_miner_herbivory,up,Savanna,2,0,0.03457142857142857,0
ACA_KAR,S27,old,sap_miner_herbivory,up,Savanna,3,0,0.18202631578947367,0
ACA_KAR,S27,old,chew_herbivory,up,Savanna,1,0.0052037037037037034,0.1637037037037037,3.178733031674208
ACA_KAR,S27,old,chew_herbivory,up,Savanna,2,0.003971428571428571,0.03457142857142857,11.487603305785122
ACA_KAR,S27,old,chew_herbivory,up,Savanna,3,0.004,0.18202631578947367,2.1974844585803095
ACA_KAR,S30,old,sap_miner_herbivory,up,Savanna,1,0,0.09030769230769231,0
ACA_KAR,S30,old,sap_miner_herbivory,up,Savanna,2,0,0.2754074074074074,0
ACA_KAR,S30,old,chew_herbivory,up,Savanna,1,0.0015769230769230769,0.09030769230769231,1.7461669505962518
