(Intercept),Avg_Rain,Herb_type,"poly(elevation, 2)",X20yr_fire,Avg_Rain:Herb_type,"Avg_Rain:poly(elevation, 2)",Avg_Rain:X20yr_fire,"Herb_type:poly(elevation, 2)",Herb_type:X20yr_fire,"poly(elevation, 2):X20yr_fire","Avg_Rain:Herb_type:poly(elevation, 2)",Avg_Rain:Herb_type:X20yr_fire,"Avg_Rain:poly(elevation, 2):X20yr_fire","Herb_type:poly(elevation, 2):X20yr_fire","Avg_Rain:Herb_type:poly(elevation, 2):X20yr_fire",df,logLik,AICc,delta,weight
-10.889124576264138,0.01648436613663535,+,+,0.23235477071932106,+,+,NA,+,NA,NA,NA,NA,NA,NA,NA,12,-101.20436785743591,235.32302142915754,12.249305770484995,0.000229267406560103
111.55723444748159,-0.15079584480637134,+,+,-10.800506974640014,+,+,0.0150524808207031,NA,+,+,NA,NA,NA,NA,NA,14,-97.36604363078068,235.45935998883408,12.38564433016154,0.000214159219921938
-9.968682928211134,0.014247083450273723,+,+,0.33269957333437333,NA,NA,NA,+,+,+,NA,NA,NA,NA,NA,12,-101.27919880264818,235.47268331958207,12.398967660909534,0.000212737304283599
105.49245494672628,-0.14174136296068435,NA,+,-10.972173767378466,NA,+,0.015052480820703316,NA,NA,+,NA,NA,NA,NA,NA,11,-103.07620629791579,235.48574592916492,12.41203027049238,0.000211352379714221
104.03094604223236,-0.1431500107617367,+,+,-9.82171192336811,+,+,0.014045347679189638,+,+,NA,NA,NA,NA,NA,NA,14,-97.56411287039658,235.8554984680659,12.781782809393349,0.000175677603524561
82.44448311941514,-0.11145127148823827,+,+,-8.073109633356262,+,NA,0.011426521885038836,+,NA,+,NA,NA,NA,NA,NA,13,-99.65134095365298,236.0085642602471,12.934848601574572,0.000162734106596285
68.39792977969962,-0.08790673066413517,+,+,-8.020926383563802,NA,+,0.01072637077814349,NA,NA,+,NA,NA,+,NA,NA,14,-97.75349291568493,236.23425855864258,13.16054289997004,0.000145368292691964
-8.837581754289886,0.014036262039631275,+,+,0.22863940145751024,+,NA,NA,+,NA,+,NA,NA,NA,NA,NA,12,-101.67727157220999,236.2688288587057,13.195113200033148,0.000142877171666992
-12.804201129775599,0.019465537849034178,+,+,0.19033248207215508,NA,+,NA,NA,+,+,NA,NA,NA,NA,NA,12,-101.77000744613996,236.45430060656562,13.380584947893084,0.000130223140948154
84.06419794696258,-0.11552288603108943,+,+,-7.593886891379066,+,NA,0.011004792847704685,NA,+,+,NA,+,NA,NA,NA,13,-99.90561058400336,236.5171035209479,13.443387862275358,0.000126197481141313
