species,site,leaf_age,side,habitat,individual,mean_leaf_area,mean_total_herbivory,total_herbivory_standardized
TAR_PAV,F3,old,low,Forest,3,13.516666666666666,0.20866666666666667,1.5437731196054254
TAR_PAV,F3,old,up,Forest,1,11.14,0.066,0.5924596050269301
TAR_PAV,F3,old,up,Forest,2,12.242,0.11599999999999999,0.9475575886293088
TAR_PAV,F3,old,up,Forest,3,19.372,0.728,3.758001238901507
TAR_PAV,F3,young,up,Forest,1,4.6883333333333335,0.2906666666666667,6.1997867045858515
TAR_PAV,F3,young,up,Forest,3,9.81,0.233,2.3751274209989806
ZAN_CAP,S5,old,low,Savanna,1,3.9728,0.0181,0.4555980668546114
ZAN_CAP,S5,old,up,Savanna,1,3.3766666666666665,0.01580952380952381,0.4681991256522353
ZAN_CAP,S8,old,up,Savanna,1,1.0725714285714285,0.014714285714285714,1.3718700053276507
ZAN_CAP,T24,old,up,Thicket,1,0.7145789473684211,9.473684210526315e-4,0.13257715253737937
ZAN_CAP,T24,old,up,Thicket,2,0.5508125,0.0014375,0.26097810053330306
ZAN_CAP,T24,old,up,Thicket,3,0.6126842105263158,0.008,1.3057297483034105
ZIZ_MUC,S1,old,low,Savanna,1,3.10975,0.5521,17.753838733017123
ZIZ_MUC,S1,old,low,Savanna,2,3.2355,0.7241428571428571,22.381173146124464
ZIZ_MUC,S1,old,up,Savanna,1,4.200266666666667,0.24213333333333334,5.764713351533236
ZIZ_MUC,S1,old,up,Savanna,2,3.58075,0.42595,11.895552607693919
ZIZ_MUC,S1,young,up,Savanna,1,1.286,0.002,0.15552099533437014
ZIZ_MUC,S1,young,up,Savanna,2,1.9068333333333334,0.4291666666666667,22.506773883401802
ZIZ_MUC,S10,old,low,Savanna,1,9.165777777777778,3.605111111111111,39.33229888958929
ZIZ_MUC,S10,old,low,Savanna,2,6.235,2.2641666666666667,36.31381983426891
ZIZ_MUC,S10,old,up,Savanna,1,12.985666666666667,5.756333333333333,44.328362040198165
ZIZ_MUC,S10,old,up,Savanna,2,11.5293,3.9438999999999997,34.207627522919864
ZIZ_MUC,S10,young,up,Savanna,1,5.475923076923077,0.5984615384615385,10.928961748633881
ZIZ_MUC,S10,young,up,Savanna,2,3.603357142857143,0.1685,4.6761948183241815
ZIZ_MUC,S20,old,low,Savanna,1,7.0365,0.0245,0.3481844667093015
