species,site,herbivory_type,habitat,individual,herbivory_percentage_median,herbivory_percentage_mean,herbratio
GYM_HAR,T12,chew_perc,Thicket,1,0.093110452,3.7910308215,0.038010308215000004
GYM_HAR,T12,chew_perc,Thicket,2,0.030358227,3.2710088189183675,0.03281008818918368
GYM_HAR,T12,chew_perc,Thicket,3,1.989225031,4.355844187189189,0.04365844187189189
GYM_HAR,T13,sap_min_perc,Thicket,1,4.11509901,8.203935072878048,0.08213935072878048
GYM_HAR,T13,sap_min_perc,Thicket,2,0.438191882,3.4369340253023255,0.034469340253023256
GYM_HAR,T13,sap_min_perc,Thicket,3,0.804661487,4.219648909558139,0.0422964890955814
GYM_HAR,T13,chew_perc,Thicket,1,2.259290541,6.356271206951219,0.0636627120695122
GYM_HAR,T13,chew_perc,Thicket,2,0.178253119,4.1648945942093025,0.04174894594209303
GYM_HAR,T13,chew_perc,Thicket,3,0.348634515,10.104426838,0.10114426838
GYM_HAR,T17,sap_min_perc,Thicket,1,0,0.07024938531034483,8.024938531034484e-4
GYM_HAR,T17,sap_min_perc,Thicket,2,0,0.4311428922285722,0.004411428922285723
GYM_HAR,T17,chew_perc,Thicket,1,0.486650007,2.439322965,0.02449322965
GYM_HAR,T17,chew_perc,Thicket,2,5.652378709,10.740791607114286,0.10750791607114286
GYM_HAR,T22,sap_min_perc,Thicket,1,0,0,1e-4
GYM_HAR,T22,sap_min_perc,Thicket,2,0,0,1e-4
GYM_HAR,T22,sap_min_perc,Thicket,3,0,0,1e-4
GYM_HAR,T22,chew_perc,Thicket,1,7.151415777,12.7775046451,0.127875046451
GYM_HAR,T22,chew_perc,Thicket,2,1.306729367,8.5931312285,0.08603131228500001
GYM_HAR,T22,chew_perc,Thicket,3,0.28894026899999997,2.9632451418461536,0.029732451418461536
GYM_HAR,T23,sap_min_perc,Thicket,1,0,0,1e-4
GYM_HAR,T23,sap_min_perc,Thicket,2,0,0,1e-4
GYM_HAR,T23,sap_min_perc,Thicket,3,0,0,1e-4
GYM_HAR,T23,chew_perc,Thicket,1,0.170285228,2.163756807369863,0.021737568073698633
GYM_HAR,T23,chew_perc,Thicket,2,0.1584567335,1.25979873358,0.0126979873358
GYM_HAR,T23,chew_perc,Thicket,3,0.051606868,2.593055186325,0.026030551863249998
GYM_HAR,T24,sap_min_perc,Thicket,1,0.0241739955,2.8837484473125,0.028937484473125
GYM_HAR,T24,sap_min_perc,Thicket,2,1.105379513,5.892969569232559,0.05902969569232559
GYM_HAR,T24,sap_min_perc,Thicket,3,0,0,1e-4
